Base,hour,day_of_week,month,ride_count
B02617,2,4,9,390
B02617,2,5,9,1149
B02617,2,6,9,1434
B02617,3,0,9,660
B02617,3,1,9,427
B02617,3,2,9,369
B02617,3,3,9,422
B02617,3,4,9,487
B02617,3,5,9,760
B02617,3,6,9,891
B02617,4,0,9,934
B02617,4,1,9,738
B02617,4,2,9,592
B02617,4,3,9,633
B02617,4,4,9,660
B02617,4,5,9,509
B02617,4,6,9,554
B02617,5,0,9,1512
B02617,5,1,9,1606
B02617,5,2,9,1243
B02617,5,3,9,1089
B02617,5,4,9,1192
B02617,5,5,9,556
B02617,5,6,9,603
B02617,6,0,9,2121
B02617,6,1,9,2752
B02617,6,2,9,2168
B02617,6,3,9,2114
B02617,6,4,9,1925
B02617,6,5,9,766
B02617,6,6,9,656
B02617,7,0,9,2656
B02617,7,1,9,3424
B02617,7,2,9,2582
B02617,7,3,9,2819
B02617,7,4,9,2442
B02617,7,5,9,1025
B02617,7,6,9,846
B02617,8,0,9,2616
B02617,8,1,9,3434
B02617,8,2,9,2428
B02617,8,3,9,2687
B02617,8,4,9,2427
B02617,8,5,9,1257
B02617,8,6,9,1115
B02617,9,0,9,2105
B02617,9,1,9,2584
B02617,9,2,9,1953
B02617,9,3,9,2209
B02617,9,4,9,1973
B02617,9,5,9,1473
B02617,9,6,9,1387
B02617,10,0,9,1984
B02617,10,1,9,2336
B02617,10,2,9,1760
B02617,10,3,9,1975
B02617,10,4,9,1924
B02617,10,5,9,1766
B02617,10,6,9,1735
B02617,11,0,9,2026
B02617,11,1,9,2229
B02617,11,2,9,1827
B02617,11,3,9,2023
B02617,11,4,9,1876
B02617,11,5,9,2070
B02617,11,6,9,1960
B02617,12,0,9,2024
B02617,12,1,9,2221
B02617,12,2,9,1826
B02617,12,3,9,2013
B02617,12,4,9,1920
B02617,12,5,9,2144
B02617,12,6,9,1979
B02617,13,0,9,2281
B02617,13,1,9,2634
B02617,13,2,9,2127
B02617,13,3,9,2274
B02617,13,4,9,2266
B02617,13,5,9,2514
B02617,13,6,9,2206
B02617,14,0,9,2555
B02617,14,1,9,3069
B02617,14,2,9,2589
B02617,14,3,9,2746
B02617,14,4,9,2686
B02617,14,5,9,3018
B02617,14,6,9,2481
B02617,15,0,9,3059
B02617,15,1,9,3625
B02617,15,2,9,3119
B02617,15,3,9,3270
B02617,15,4,9,3135
B02617,15,5,9,3500
B02617,15,6,9,2599
B02617,16,0,9,3496
B02617,16,1,9,4080
B02617,16,2,9,3501
B02617,16,3,9,3683
B02617,16,4,9,3531
B02617,16,5,9,3774
B02617,16,6,9,2847
B02617,17,0,9,3633
B02617,17,1,9,4606
B02617,17,2,9,3868
B02617,17,3,9,4170
B02617,17,4,9,4120
B02617,17,5,9,3984
B02617,17,6,9,2742
B02617,18,0,9,3590
B02617,18,1,9,4442
B02617,18,2,9,3852
B02617,18,3,9,4365
B02617,18,4,9,4488
B02617,18,5,9,4137
B02617,18,6,9,2715
B02617,19,0,9,3257
B02617,19,1,9,4047
B02617,19,2,9,3542
B02617,19,3,9,4091
B02617,19,4,9,4332
B02617,19,5,9,4074
B02617,19,6,9,2361
B02617,20,0,9,3047
B02617,20,1,9,3851
B02617,20,2,9,3482
B02617,20,3,9,3770
B02617,20,4,9,3745
B02617,20,5,9,3529
B02617,20,6,9,2205
B02617,21,0,9,2592
B02617,21,1,9,3341
B02617,21,2,9,3078
B02617,21,3,9,3688
B02617,21,4,9,3901
B02617,21,5,9,3844
B02617,21,6,9,1872
B02617,22,0,9,1962
B02617,22,1,9,2435
B02617,22,2,9,2487
B02617,22,3,9,3017
B02617,22,4,9,3931
B02617,22,5,9,4136
B02617,22,6,9,1545
B02617,23,0,9,1112
B02617,23,1,9,1172
B02617,23,2,9,1344
B02617,23,3,9,2037
B02617,23,4,9,3501
B02617,23,5,9,3888
B02617,23,6,9,869
B02682,0,0,9,363
B02682,0,1,9,285
B02682,0,2,9,305
B02682,0,3,9,336
B02682,0,4,9,477
B02682,0,5,9,1277
B02682,0,6,9,1535
B02682,1,0,9,252
B02682,1,1,9,152
B02682,1,2,9,194
B02682,1,3,9,222
B02682,1,4,9,316
B02682,1,5,9,853
B02682,1,6,9,1091
B02682,2,0,9,188
B02682,2,1,9,133
B02682,2,2,9,137
B02682,2,3,9,145
B02682,2,4,9,198
B02682,2,5,9,516
B02682,2,6,9,722
B02682,3,0,9,368
B02682,3,1,9,254
B02682,3,2,9,202
B02682,3,3,9,225
B02682,3,4,9,249
B02682,3,5,9,364
B02682,3,6,9,467
B02682,4,0,9,505
B02682,4,1,9,438
B02682,4,2,9,366
B02682,4,3,9,356
B02682,4,4,9,363
B02682,4,5,9,283
B02682,4,6,9,288
B02682,5,0,9,828
B02682,5,1,9,840
B02682,5,2,9,647
B02682,5,3,9,574
B02682,5,4,9,632
B02682,5,5,9,340
B02682,5,6,9,350
B02682,6,0,9,1178
B02682,6,1,9,1548
B02682,6,2,9,1173
B02682,6,3,9,1195
B02682,6,4,9,1070
B02682,6,5,9,434
B02682,6,6,9,357
B02682,7,0,9,1563
B02682,7,1,9,2043
B02682,7,2,9,1497
B02682,7,3,9,1709
B02682,7,4,9,1433
B02682,7,5,9,581
B02682,7,6,9,492
B02682,8,0,9,1502
B02682,8,1,9,2012
B02682,8,2,9,1422
B02682,8,3,9,1666
B02682,8,4,9,1393
B02682,8,5,9,759
B02682,8,6,9,653
B02682,9,0,9,1177
B02682,9,1,9,1406
B02682,9,2,9,1151
B02682,9,3,9,1309
B02682,9,4,9,1122
B02682,9,5,9,915
B02682,9,6,9,804
B02682,10,0,9,1044
B02682,10,1,9,1277
B02682,10,2,9,977
B02682,10,3,9,1167
B02682,10,4,9,1037
B02682,10,5,9,1026
B02682,10,6,9,916
B02682,11,0,9,1066
B02682,11,1,9,1143
B02682,11,2,9,1015
B02682,11,3,9,1147
B02682,11,4,9,1015
B02682,11,5,9,1132
B02682,11,6,9,1096
B02682,12,0,9,1000
B02682,12,1,9,1077
B02682,12,2,9,950
B02682,12,3,9,1037
B02682,12,4,9,1046
B02682,12,5,9,1129
B02682,12,6,9,1138
B02682,13,0,9,1180
B02682,13,1,9,1283
B02682,13,2,9,1080
B02682,13,3,9,1189
B02682,13,4,9,1205
B02682,13,5,9,1370
B02682,13,6,9,1145
B02682,14,0,9,1366
B02682,14,1,9,1533
B02682,14,2,9,1258
B02682,14,3,9,1398
B02682,14,4,9,1357
B02682,14,5,9,1687
B02682,14,6,9,1202
B02682,15,0,9,1562
B02682,15,1,9,1901
B02682,15,2,9,1543
B02682,15,3,9,1693
B02682,15,4,9,1708
B02682,15,5,9,1840
B02682,15,6,9,1315
B02682,16,0,9,1805
B02682,16,1,9,2048
B02682,16,2,9,1778
B02682,16,3,9,1994
B02682,16,4,9,1872
B02682,16,5,9,1934
B02682,16,6,9,1409
B02682,17,0,9,1847
B02682,17,1,9,2275
B02682,17,2,9,1945
B02682,17,3,9,2104
B02682,17,4,9,2077
B02682,17,5,9,2032
B02682,17,6,9,1375
B02682,18,0,9,1810
B02682,18,1,9,2117
B02682,18,2,9,1832
B02682,18,3,9,2082
B02682,18,4,9,2296
B02682,18,5,9,2202
B02682,18,6,9,1314
B02682,19,0,9,1615
B02682,19,1,9,2012
B02682,19,2,9,1665
B02682,19,3,9,2062
B02682,19,4,9,2172
B02682,19,5,9,2146
B02682,19,6,9,1222
B02682,20,0,9,1569
B02682,20,1,9,1941
B02682,20,2,9,1666
B02682,20,3,9,1945
B02682,20,4,9,1959
B02682,20,5,9,1816
B02682,20,6,9,1086
B02682,21,0,9,1283
B02682,21,1,9,1674
B02682,21,2,9,1443
B02682,21,3,9,1873
B02682,21,4,9,2040
B02682,21,5,9,2019
B02682,21,6,9,992
B02682,22,0,9,938
B02682,22,1,9,1243
B02682,22,2,9,1045
B02682,22,3,9,1483
B02682,22,4,9,1971
B02682,22,5,9,2068
B02682,22,6,9,800
B02682,23,0,9,563
B02682,23,1,9,580
B02682,23,2,9,663
B02682,23,3,9,939
B02682,23,4,9,1717
B02682,23,5,9,1883
B02682,23,6,9,447
B02764,0,0,9,321
B02764,0,1,9,258
B02764,0,2,9,247
B02764,0,3,9,300
B02764,0,4,9,400
B02764,0,5,9,1296
B02764,0,6,9,1570
B02764,1,0,9,204
B02764,1,1,9,152
B02764,1,2,9,152
B02764,1,3,9,142
B02764,1,4,9,272
B02764,1,5,9,990
B02764,1,6,9,1186
B02764,2,0,9,170
B02764,2,1,9,111
B02764,2,2,9,102
B02764,2,3,9,121
B02764,2,4,9,170
B02764,2,5,9,637
B02764,2,6,9,823
B02764,3,0,9,259
B02764,3,1,9,188
B02764,3,2,9,147
B02764,3,3,9,165
B02764,3,4,9,239
B02764,3,5,9,436
B02764,3,6,9,486
B02764,4,0,9,374
B02764,4,1,9,336
B02764,4,2,9,245
B02764,4,3,9,265
B02764,4,4,9,309
B02764,4,5,9,302
B02764,4,6,9,296
B02764,5,0,9,575
B02764,5,1,9,671
B02764,5,2,9,447
B02764,5,3,9,397
B02764,5,4,9,488
B02764,5,5,9,266
B02764,5,6,9,296
B02764,6,0,9,864
B02764,6,1,9,1154
B02764,6,2,9,862
B02764,6,3,9,816
B02764,6,4,9,837
B02764,6,5,9,378
B02764,6,6,9,280
B02764,7,0,9,1039
B02764,7,1,9,1429
B02764,7,2,9,1038
B02764,7,3,9,1180
B02764,7,4,9,1021
B02764,7,5,9,495
B02764,7,6,9,397
B02764,8,0,9,1179
B02764,8,1,9,1473
B02764,8,2,9,999
B02764,8,3,9,1248
B02764,8,4,9,1021
B02764,8,5,9,637
B02764,8,6,9,530
B02764,9,0,9,1057
B02764,9,1,9,1188
B02764,9,2,9,828
B02764,9,3,9,1061
B02764,9,4,9,976
B02764,9,5,9,830
B02764,9,6,9,645
B02764,10,0,9,915
B02764,10,1,9,1112
B02764,10,2,9,834
B02764,10,3,9,980
B02764,10,4,9,950
B02764,10,5,9,955
B02764,10,6,9,772
B02764,11,0,9,950
B02764,11,1,9,1059
B02764,11,2,9,819
B02764,11,3,9,955
B02764,11,4,9,914
B02764,11,5,9,1022
B02764,11,6,9,960
B02764,12,0,9,990
B02764,12,1,9,1037
B02764,12,2,9,832
B02764,12,3,9,999
B02764,12,4,9,929
B02764,12,5,9,1192
B02764,12,6,9,1029
B02764,13,0,9,1096
B02764,13,1,9,1245
B02764,13,2,9,1016
B02764,13,3,9,1118
B02764,13,4,9,1068
B02764,13,5,9,1345
B02764,13,6,9,1201
B02764,14,0,9,1313
B02764,14,1,9,1492
B02764,14,2,9,1119
B02764,14,3,9,1205
B02764,14,4,9,1311
B02764,14,5,9,1615
B02764,14,6,9,1281
B02764,15,0,9,1528
B02764,15,1,9,1758
B02764,15,2,9,1311
B02764,15,3,9,1434
B02764,15,4,9,1400
B02764,15,5,9,1830
B02764,15,6,9,1378
B02764,16,0,9,1669
B02764,16,1,9,1885
B02764,16,2,9,1521
B02764,16,3,9,1717
B02764,16,4,9,1623
B02764,16,5,9,2000
B02764,16,6,9,1398
B02764,17,0,9,1761
B02764,17,1,9,2120
B02764,17,2,9,1738
B02764,17,3,9,1947
B02764,17,4,9,1920
B02764,17,5,9,2128
B02764,17,6,9,1350
B02764,18,0,9,1782
B02764,18,1,9,2230
B02764,18,2,9,1743
B02764,18,3,9,1964
B02764,18,4,9,2193
B02764,18,5,9,2195
B02764,18,6,9,1374
B02764,19,0,9,1514
B02764,19,1,9,1994
B02764,19,2,9,1570
B02764,19,3,9,1855
B02764,19,4,9,2177
B02764,19,5,9,2124
B02764,19,6,9,1246
B02764,20,0,9,1469
B02764,20,1,9,1850
B02764,20,2,9,1466
B02764,20,3,9,1642
B02764,20,4,9,1832
B02764,20,5,9,1867
B02764,20,6,9,1154
B02764,21,0,9,1190
B02764,21,1,9,1587
B02764,21,2,9,1233
B02764,21,3,9,1541
B02764,21,4,9,2028
B02764,21,5,9,1953
B02764,21,6,9,997
B02764,22,0,9,878
B02764,22,1,9,1147
B02764,22,2,9,937
B02764,22,3,9,1288
B02764,22,4,9,1947
B02764,22,5,9,2004
B02764,22,6,9,763
B02764,23,0,9,468
B02764,23,1,9,480
B02764,23,2,9,481
B02764,23,3,9,880
B02764,23,4,9,1624
B02764,23,5,9,1931
B02764,23,6,9,416
